Code,Name,Credits,Prerequisites,Description
INTD-3355,"RESEARCH METHODS IN LIBRARIES"
BIOL-5758,"BACTERIAL GENETICS"
BIOL-5760,"BACTERIAL GENETICS LABORATORY"
BIOL-5765,"MYCOLOGY"
BIOL-5815,"ANIMAL BEHAVIOR"
BIOL-5955,"INTRODUCTION TO RESEARCH METHODS IN ECOLOGY"
BIOL-5990,"FIELD BIOLOGY WORKSHOP"
BOTA-4995,"SPECIAL PROBLEMS IN BOTANY"
BOTA-4996,"SPECIAL PROBLEMS IN BOTANY"
ZOOL-5005,"INVERTEBRATES OF PUERTO RICO"
QUIM-3025,"ANALYTICAL CHEMISTRY I"
QUIM-3041,"GENERAL CHEMISTRY I"
QUIM-3042,"GENERAL CHEMISTRY II"
QUIM-3055,"ANALYTICAL CHEMISTRY"
QUIM-3061,"FUNDAMENTALS OF ORGANIC CHEMISTRY AND BIOCHEMISTRY I"
QUIM-3062,"FUNDAMENTALS OF ORGANIC CHEMISTRY AND BIOCHEMISTRY II"
QUIM-3065,"ANALYTICAL CHEMISTRY II"
QUIM-3071,"ORGANIC CHEMISTRY"
QUIM-3072,"ORGANIC CHEMISTRY"
QUIM-3085,"ENVIRONMENTAL CHEMISTRY"
QUIM-3086,"ENVIRONMENTAL CHEMISTRY LABORATORY"
QUIM-3131,"GENERAL CHEMISTRY I"
QUIM-3132,"GENERAL CHEMISTRY II"
QUIM-3133,"GENERAL CHEMISTRY LABORATORY I"
QUIM-3134,"GENERAL CHEMISTRY LABORATORY II"
QUIM-3141,"PRINCIPLES OF GENERAL, ORGANIC AND BIOLOGICAL CHEMISTRY I"
QUIM-3142,"PRINCIPLES OF GENERAL, ORGANIC AND BIOLOGICAL CHEMISTRY II"
QUIM-3335,"INTRODUCTION TO FOOD CHEMISTRY"
QUIM-3336,"INTRODUCTORY FOOD CHEMISTRY LABORATORY"
QUIM-3450,"FUNDAMENTALS OF ORGANIC CHEMISTRY"
QUIM-3461,"ORGANIC CHEMISTRY I"
QUIM-3462,"ORGANIC CHEMISTRY LABORATORY I"
QUIM-3463,"ORGANIC CHEMISTRY II"
QUIM-3464,"ORGANIC CHEMISTRY LABORATORY II"
QUIM-4000,"INTERMEDIATE INORGANIC CHEMISTRY"
QUIM-4007,"INORGANIC CHEMISTRY LABORATORY"
QUIM-4015,"INSTRUMENTAL METHODS OF ANALYSIS"
QUIM-4026,"HISTORY OF CHEMISTRY"
QUIM-4041,"PHYSICAL CHEMISTRY I"
QUIM-4042,"PHYSICAL CHEMISTRY II"
QUIM-4055,"INTRODUCTION TO BIOCHEMISTRY"
QUIM-4057,"PHYSICAL CHEMISTRY: APPLICATIONS TO BIOTECHNOLOGY"
QUIM-4101,"PHYSICAL CHEMISTRY LABORATORY I"
QUIM-4102,"PHYSICAL CHEMISTRY LABORATORY II"
QUIM-4115,"TEACHING PRACTICE IN THE CHEMISTRY LABORATORY"
QUIM-4125,"BIBLIOGRAPHY AND SEMINAR IN CHEMISTRY"
QUIM-4137,"INDUSTRIAL CHEMISTRY"
QUIM-4145,"PRACTICE IN INDUSTRIAL CHEMISTRY"
QUIM-4399,"SELECTED TOPICS IN CHEMISTRY"
QUIM-4405,"INTRODUCTION TO FORENSIC CHEMISTRY"
QUIM-4997,"CO-OP PRACTICE"
QUIM-4998,"UNDERGRADUATE RESEARCH I"
QUIM-4999,"UNDERGRADUATE RESEARCH II"
QUIM-5005,"METHODOLOGY OF ENVIRONMENTAL CHEMICAL ANALYSIS"
QUIM-5065,"CHEMISTRY OF SYNTHETIC DRUGS"
QUIM-5066,"TOXICOLOGICAL CHEMISTRY"
QUIM-5071,"GENERAL BIOCHEMISTRY I"
QUIM-5072,"GENERAL BIOCHEMISTRY II"
QUIM-5073,"GENERAL BIOCHEMISTRY LABORATORY I"
QUIM-5074,"GENERAL BIOCHEMISTRY LABORATORY II"
QUIM-5085,"FOOD CHEMISTRY"
QUIM-5095,"NUCLEAR CHEMISTRY"
QUIM-5105,"PRINCIPLES OF QUANTUM CHEMISTRY"
QUIM-5125,"CHEMICAL THERMODYNAMICS"
QUIM-5135,"PHYSICAL ORGANIC CHEMISTRY"
QUIM-5145,"HETEROCYCLIC COMPOUNDS"
QUIM-5150,"SPECTROSCOPIC IDENTIFICATION OF ORGANIC COMPOUNDS"
QUIM-5175,"EXPLOSIVES DETECTION AND ANALYSIS"
QUIM-5205,"PHARMACEUTICAL ANALYTICAL CHEMISTRY"
ECON-3021,"PRINCIPLES OF ECONOMICS: MICROECONOMICS"
ECON-3022,"PRINCIPLES OF ECONOMY: MACROECONOMICS"
ECON-3085,"ECONOMIC AND SOCIAL DEVELOPMENT OF PUERTO RICO"
ECON-3086,"CONTEMPORARY PROBLEMS OF THE PUERTO RICAN ECONOMY"
ECON-3091,"MICRO-ECONOMIC THEORY"
ECON-3092,"MACRO-ECONOMIC THEORY"
ECON-3095,"SECURITIES MARKETS"
ECON-4006,"BUSINESS CYCLES"
ECON-4007,"QUANTITATIVE METHODS IN ECONOMICS"
ECON-4009,"ECONOMICS OF REGULATION AND ANTITRUST"
ECON-4015,"ECONOMIC DEVELOPMENT"
ECON-4016,"MANAGERIAL ECONOMICS"
ECON-4017,"ECONOMETRICS"
ECON-4018,"ECONOMICS OF THE PUBLIC SECTOR"
ECON-4025,"MONEY AND BANKING"
ECON-4027,"TRANSPORTATION ECONOMICS"
ECON-4028,"ECONOMICS OF NATURAL RESOURCES"
ECON-4037,"URBAN ECONOMICS"
ECON-4038,"ECOLOGICAL ECONOMICS"
ECON-4045,"COMPARATIVE ECONOMIC SYSTEMS"
ECON-4046,"INPUT-OUTPUT ANALYSIS"
ECON-4047,"ECONOMICS OF ELECTRONIC COMMERCE AND THE INTERNET"
ECON-4055,"HISTORY OF ECONOMIC THOUGHT"
ECON-4056,"ENVIRONMENTAL ECONOMICS"
ECON-4065,"ECONOMICS OF THE PUBLIC SECTOR AND FISCAL POLICY"
ECON-4068,"ECONOMICS OF TOURISM"
ECON-4074,"ECONOMICS AND LAW"
ECON-4085,"INTERNATIONAL ECONOMICS"
ECON-4185,"ECONOMIC PROBLEMS OF LATIN AMERICA"
ECON-4196,"ECONOMICS OF INDUSTRIAL ORGANIZATION"
ECON-4225,"LABOR ECONOMICS"
ECON-4307,"PROJECT EVALUATION"
ECON-4316,"STRATEGIC PROSPECTIVE AND SCENARIO BUILDING"
ECON-4391,"RESEARCH METHODS IN ECONOMICS I"
ECON-4392,"RESEARCH METHODS IN ECONOMICS II"
ECON-4405,"ANALYSIS OF CONTEMPORARY ECONOMIC PROBLEMS"
ECON-4425,"SPECIAL TOPICS"
ECON-4995,"SPECIAL PROBLEMS"
INGL-3046,"LITERATURE FROM BRITISH POSTCOLONIES"
INGL-3056,"INTRODUCTION TO THE COMMUNICATION PROCESS"
INGL-3057,"MEDIA LITERACY"
INGL-3101,"BASIC COURSE IN ENGLISH"
INGL-3102,"BASIC COURSE IN ENGLISH"
INGL-3103,"INTERMEDIATE ENGLISH I"
INGL-3104,"INTERMEDIATE ENGLISH II"
INGL-3175,"POETRY WRITING"
INGL-3195,"PROFESSIONAL CONVERSATION"
INGL-3197,"PROFESSIONAL PRESENTATIONS"
INGL-3198,"PROFESSIONAL INTERVIEWS"
INGL-3201,"ENGLISH COMPOSITION AND READING"
INGL-3202,"ENGLISH COMPOSITION AND READING"
INGL-3205,"GRAMMAR AND USAGE OF ENGLISH"
INGL-3209,"COMMUNICATION IN SCIENCE"
INGL-3211,"ADVANCED ENGLISH I"
INGL-3212,"ADVANCED ENGLISH II"
INGL-3225,"INTRODUCTION TO LINGUISTICS"
INGL-3227,"PHONETICS OF ENGLISH"
INGL-3231,"ENGLISH EXPOSITORY WRITING"
INGL-3236,"TECHNICAL COMMUNICATION"
INGL-3238,"CREATIVE WRITING"
INGL-3250,"PUBLIC SPEAKING"
INGL-3268,"WRITING FOR THE MEDIA"
INGL-3276,"INTRODUCTION TO LITERATURE: SHORT STORY"
INGL-3277,"INTRODUCTION TO LITERATURE: THE NOVEL"
INGL-3278,"INTRODUCTION TO DRAMA"
INGL-3279,"INTRODUCTION TO POETRY"
INGL-3280,"READING WRITING SCREENPLAY"
INGL-3286,"CREATIVE WRITING FICTION"
INGL-3289,"CONVERSATIONAL ENGLISH"
INGL-3295,"PRINCIPLES OF SPEECH COMMUNICATION"
INGL-3296,"WORLD ENGLISHES"
INGL-3300,"SPECIAL TOPICS IN ENGLISH STUDIES"
INGL-3305,"MODERN AMERICAN LITERATURE"
INGL-3306,"MODERN BRITISH LITERATURE"
INGL-3307,"INTRODUCTION TO COMMUNICATION IN THE WORKPLACE"
INGL-3308,"INTRODUCTION TO LITERARY THEORY FROM 1900 TO THE PRESENT"
INGL-3310,"THE GOTHIC NOVEL FROM WALPOLE TO SHELLEY"
INGL-3312,"THE NOVEL IN ENGLISH LITERATURE"
INGL-3317,"THE NOVEL IN AMERICAN LITERATURE"
INGL-3318,"LITERATURE OF THE ENGLISH SPEAKING CARIBBEAN"
INGL-3321,"ENGLISH LITERATURE TO 1798"
INGL-3322,"ENGLISH LITERATURE FROM 1798 TO MODERN PERIOD"
INGL-3323,"MODERN DRAMA IN ENGLISH SINCE 1890"
INGL-3325,"MODERN POETRY"
INGL-3326,"LITERATURE OF MINORITY IN THE UNITED STATES"
INGL-3345,"TOPICS IN CINEMA"
INGL-3351,"AMERICAN LITERATURE TO 1860"
INGL-3352,"AMERICAN LITERATURE FROM 1860 TO THE EARLY MODERN PERIOD"
INGL-4000,"ENGLISH LITERATURE OF THE 17TH CENTURY"
INGL-4008,"CREATIVE NON-FICTION WRITING"
INGL-4009,"LITERATURE OF THE ENGLISH RENAISSANCE"
INGL-4017,"THE ROMANTIC MOVEMENT"
INGL-4025,"SHAKESPEARE"
INGL-4026,"SOCIOLINGUISTICS"
INGL-4027,"OLD AND MIDDLE ENGLISH LITERATURE"
INGL-4028,"RESEARCH AND WRITING IN LANGUAGE AND LINGUISTICS"
INGL-4030,"RESEARCH AND WRITING IN LITERATURE"
INGL-4045,"LITERATURE OF THE ENGLISH-SPEAKING CARIBBEAN"
INGL-4047,"ENGLISH PHONOLOGY"
INGL-4059,"PERSUASIVE WRITING"
INGL-4066,"RESEARCH IN WRITING AND COMMUNICATION"
INGL-4075,"PSYCHOLINGUISTICS"
INGL-4095,"THE VICTORIAN PERIOD"
INGL-4097,"ENGLISH LITERATURE OF THE 18TH CENTURY"
INGL-4107,"RHETORICAL THEORY"
INGL-4108,"ADVANCED TECHNICAL COMMUNICATION"
INGL-4125,"INTRODUCTION TO SEMANTICS"
INGL-4196,"GROUP COMMUNICATION"
INGL-4205,"MORPHOLOGY AND SYNTAX"
INGL-4206,"THE STRUCTURE OF ENGLISH"
INGL-4208,"HISTORY OF THE ENGLISH LANGUAGE"
INGL-4255,"PROFESSIONAL EDITING"
INGL-4285,"FEATURE WRITING"
INGL-4316,"AMERICAN ROMANTICISM"
INGL-4317,"AMERICAN REALISM AND NATURALISM"
INGL-4318,"EARLY AMERICAN AUTHORS"
INGL-4998,"SUPERVISED RESEARCH IN ENGLISH"
INGL-5007,"ORAL COMMUNICATION"
INGL-5009,"CONTRASTIVE GRAMMAR"
INGL-5010,"PERSPECTIVES OF TEACHING ENGLISH AS A SECOND LANGUAGE"
INGL-5015,"ENGLISH AND AMERICAN LITERARY CRITICISM"
INGL-5018,"STUDY IN THE BRITISH ISLES"
INGL-5025,"CURRENT APPROACHES IN LINGUISTIC THEORY"
GEOL-3025,"EARTH SCIENCES"
GEOL-3026,"LIFE IN THE PAST"
GEOL-3027,"GEOLOGICAL ASPECTS OF THE ENVIRONMENTAL SCIENCES"
GEOL-3028,"INTRODUCTION TO EARTHQUAKES"
GEOL-3045,"PLANETARY GEOLOGY"
GEOL-3047,"INTRODUCTORY GEOLOGY LABORATORY"
GEOL-3055,"MORPHOLOGICAL CRYSTALLOGRAPHY AND CRYSTAL CHEMISTRY"
GEOL-3056,"GEOCHEMISTRY OF MINERAL SYSTEMS AND OPTICAL MINERALOGY"
GEOL-3067,"VOLCANOES"
GEOL-3070,"INTRODUCTION TO MARINE GEOLOGY"
GEOL-3105,"IMAGES OF PLANET EARTH"
GEOL-4001,"TOPICS IN GEOLOGY"
GEOL-4002,"TOPICS IN GEOLOGY"
GEOL-4005,"ELEMENTARY PALEONTOLOGY"
GEOL-4006,"ELEMENTARY STRUCTURAL GEOLOGY"
GEOL-4009,"STRATIGRAPHY"
GEOL-4011,"SEMINAR IN GEOLOGY"
GEOL-4012,"SEMINAR IN GEOLOGY"
GEOL-4015,"GEOLOGY FOR ENGINEERS"
GEOL-4016,"ENGINEERING GEOLOGY"
GEOL-4017,"ELEMENTARY GEOMORPHOLOGY"
GEOL-4018,"FIELD GEOLOGY"
GEOL-4019,"ECONOMIC GEOLOGY"
GEOL-4029,"FIELD METHODS IN GEOLOGY"
GEOL-4037,"VOLCANOES AND THEIR HAZARDS"
GEOL-4045,"PETROGENESIS OF CRYSTALLINE ROCKS"
GEOL-4046,"SEDIMENTARY ENVIRONMENTS AND LITHOGENESIS"
GEOL-4047,"INTRODUCTION TO GEOCHEMISTRY"
GEOL-4048,"GEOLOGICAL APPLICATIONS OF REMOTE SENSING"
GEOL-4049,"UNDERGRADUATE RESEARCH I"
GEOL-4055,"UNDERGRADUATE RESEARCH II"
GEOL-4057,"ENVIRONMENTAL GEOPHYSICS"
GEOL-4058,"INTERIOR OF THE EARTH"
GEOL-4059,"PHYSICAL VOLCANOLOGY"
GEOL-4060,"GEOLOGICAL APPLICATIONS OF CARTOGRAPHY AND GEODESY"
GEOL-4105,"INTRODUCTION TO HYDROGEOLOGY"
GEOL-5005,"MARINE GEOLOGY"
GEOL-5006,"SEDIMENTATION"
GEOL-5008,"MICROPALEONTOLOGY"
GEOL-5011,"PRINCIPLES OF PALEONTOLOGY I"
GEOL-5015,"OPTICAL MINERALOGY"
GEOL-5020,"ADVANCED GEOPHYSICS"
GEOL-5025,"GEOLOGY OF THE CARIBBEAN"
GEOL-5026,"TECTONICS"
GEOL-5027,"METALLOGENESIS AND GLOBAL TECTONICS"
GEOL-5565,"EARTHQUAKE SEISMOLOGY"
GEOL-5575,"SEISMOTECTONICS"
GEOL-5605,"GEOLOGICAL HAZARDS"
GEOL-5985,"SPECIAL TOPICS IN PALEONTOLOGY"
GEOL-5993,"ADVANCED GEOCHEMISTRY"
GEOL-5994,"SPECIAL TOPICS IN PALEONTOLOGY WITH LABORATORY"
GEOL-5998,"ADVANCED PETROLOGY I"
ESPA-0041,"SPANISH FOR BEGINNNERS"
ESPA-0042,"SPANISH FOR BEGINNNERS"
ESPA-3021,"MASTERPIECES OF LATIN AMERICAN LITERATURE"
ESPA-3022,"MASTERPIECES OF LATIN AMERICAN LITERATURE"
ESPA-3101,"BASIC COURSE IN SPANISH I"
ESPA-3102,"BASIC COURSE IN SPANISH II"
ESPA-3126,"LATIN AMERICAN CINEMA"
ESPA-3127,"INTRODUCTION TO CENTRAL AMERICAN LITERATURE"
ESPA-3131,"ACADEMIC LITERACY I"
ESPA-3132,"ACADEMIC LITERACY II"
ESPA-3170,"JOURNALISTIC WRITING"
ESPA-3175,"READING “RACE” IN PUERTO RICO"
ESPA-3211,"INTRODUCTION TO SPANISH LITERATURE I"
ESPA-3212,"INTRODUCTION TO SPANISH LITERATURE II"
ESPA-3215,"COMMERCIAL EXPRESSION AND COMMUNICATION"
ESPA-3216,"FORMAL EXPOSITIVE WRITING"
ESPA-3295,"SPANISH GRAMMAR"
ESPA-3305,"CINEMA AND HISPANIC LITERATURE"
ESPA-3315,"WOMEN AND WRITING IN HISPANIC AMERICA"
ESPA-3405,"FEMININE DISCOURSE IN ART OF THE HISPANIC WORLD"
ESPA-3406,"CREATIVE WRITING: SHORT STORIES"
ESPA-3505,"WOMEN AND FOLKLORE"
ESPA-3906,"BIBLIOGRAPHICAL RESEARCH IN HISPANIC STUDIES"
ESPA-4007,"FICTION IN PUERTO RICAN LITERATURE"
ESPA-4011,"DIACHRONY OF THE SPANISH LANGUAGE"
ESPA-4012,"THE SPANISH LANGUAGE IN HISPANIC AMERICA"
ESPA-4021,"CERVANTES"
ESPA-4022,"CERVANTES"
ESPA-4036,"LANGUAGE, LITERATURE AND THE ENVIRONMENT"
ESPA-4045,"SEMINAR IN LITERARY AND CULTURAL STUDIES ON WOMEN AND GENDER"
ESPA-4046,"INTRODUCTION TO CRITICAL THEORY AND LITERARY ANALYSIS"
ESPA-4047,"CALIBANAS: SHORT STORIES OF CONTEMPORARY WOMEN WRITERS OF THE HISPANIC CARIBBEAN"
ESPA-4051,"SPANISH LITERATURE OF THE NINETEENTH CENTURY"
ESPA-4056,"MODERNISM LITERATURE IN SPANISH AMERICA"
ESPA-4061,"SPANISH POETRY"
ESPA-4062,"SPANISH POETRY"
ESPA-4065,"CONTEMPORARY SPANISH-AMERICAN POETRY"
ESPA-4071,"THE SHORT STORY IN SPANISH-AMERICA"
ESPA-4072,"THE SHORT STORY IN SPANISH-AMERICA"
ESPA-4105,"PUERTO RICAN POETRY (1930'S TO XIX CENTURY)"
ESPA-4110,"PUERTORICAN POETRY II (1940'S TO PRESENT)"
ESPA-4201,"INTRODUCTION TO LINGUISTICS I"
ESPA-4202,"INTRODUCTION TO LINGUISTICS II"
ESPA-4215,"SPANISH AMERICAN THEATER OF THE 20TH CENTURY"
ESPA-4216,"SPANISH PHONETICS AND PHONOLOGY"
ESPA-4221,"SPANISH-AMERICAN LITERATURE I"
ESPA-4222,"SPANISH-AMERICAN LITERATURE II"
ESPA-4227,"WOMEN NARRATORS IN HISPANIC LITERATURE"
ESPA-4228,"CENTRAL AMERICAN WOMEN WRITERS"
ESPA-4231,"PUERTO RICAN LITERATURE"
ESPA-4232,"PUERTO RICAN LITERATURE"
ESPA-4251,"THE GOLDEN AGE"
ESPA-4252,"THE GOLDEN AGE"
ESPA-4405,"TECHNICAL AND SCIENTIFIC WRITING"
ESPA-4491,"SEMINAR"
ESPA-4492,"SEMINAR"
ESPA-4495,"PROPOSAL WRITING"
ESPA-4505,"FEMINIST CRITICAL THEORIES: READING GENDER AND SEXUALITY"
ESPA-4905,"SEMINAR IN LITERATURE"
ESPA-4995,"SPECIAL TOPICS I"
ESPA-4996,"SPECIAL TOPICS II"
LING-4010,"LANGUAGE IN THE HUMAN MIND: AN INTRODUCTION TO LINGUISTICS"
LING-4020,"LINGUISTIC CHANGE AND VARIATION"
ESPA-5005,"POETIC GENERATION OF 1927"
ESPA-5006,"THE QUEERCARESQUE: QUEER INHERITOR OF THE PICARESQUE NOVEL"
LING-5030,"INTRODUCTION TO GENERATIVE SYNTAX"
LING-5040,"INTRODUCTION TO GENERATIVE PHONOLOGY"
LING-5050,"MORPHOLOGICAL THEORY"
LING-5060,"COMPOSITIONAL SEMANTICS"
LING-5075,"LANGUAGE ACQUISITION AND DEVELOPMENT"
LING-5080,"COMPUTATIONAL LINGUISTICS"
LING-5090,"FORMAL FOUNDATIONS OF LINGUISTIC THEORY"
LING-5100,"PHILOSOPHICAL FOUNDATIONS OF LINGUISTIC THEORY"
LING-5110,"FOUNDATIONAL ISSUES IN BIOLINGUISTICS"
LING-5120,"PSYCHOLINGUISTICS"
LING-5170,"BILINGUALISM AND SECOND LANGUAGE ACQUISITION IN CHILDREN"
LING-5180,"NATURAL LANGUAGE PROCESSING"
LING-5980,"RESEARCH SEMINAR IN COMPUTATIONAL LINGUISTICS AND NATURAL LANGUAGE PROCESSING"
LING-5990,"SEMINAR IN LINGUISTICS"
ARTE-3007,"ARTISTIC PHOTOGRAPHY"
ARTE-3016,"HISTORY AND LANGUAGE OF COMICS"
ARTE-3055,"CALIGRAPHY"
ARTE-3057,"INTRODUCTION TO MUSEUM STUDIES"
ARTE-3121,"DRAWING"
ARTE-3122,"PAINTING"
ARTE-3131,"PERSPECTIVE IN ART"
ARTE-3132,"COLOR"
ARTE-3141,"DESIGN WORKSHOP"
ARTE-3142,"DESIGN WORKSHOP"
ARTE-3151,"FUNDAMENTALS OF ART THEORY"
ARTE-3152,"THEORETICAL BASES OF MODERN ART"
ARTE-3161,"STAINED GLASS WORKSHOP"
ARTE-3162,"STAINED GLASS WORKSHOP"
ARTE-3200,"STUDY OF THE HUMAN FIGURE"
ARTE-3210,"PORTRAIT STUDY"
ARTE-3226,"HISTORY OF ART IN PUERTO RICO"
ARTE-3235,"WATERCOLOR"
ARTE-3276,"ART APPRECIATION"
ARTE-3279,"EXPERIMENTATION WITH ART MATERIALS"
ARTE-3531,"COMPUTERS IN THE VISUAL ARTS I"
ARTE-3532,"COMPUTERS IN THE VISUAL ARTS II"
ARTE-4021,"CERAMIC"
ARTE-4022,"POTTERY"
ARTE-4025,"ADVANCED CERAMICS"
ARTE-4123,"ILLUSTRATION I"
ARTE-4124,"ILLUSTRATION II"
ARTE-4206,"ARCHITECTURE IN PUERTO RICO"
ARTE-4251,"RELIEF PRINTING"
ARTE-4252,"INTAGLIO"
ARTE-4259,"HISTORY OF MODERN ART"
ARTE-4260,"METAL ENGRAVING"
ARTE-4271,"HISTORY OF ART: PALEOLITHIC TO ROMAN"
ARTE-4272,"HISTORY OF ART: EARLY CHRISTIAN TO BAROQUE"
ARTE-4281,"INTRODUCTION TO LATIN AMERICAN ART: PRE-COLUMBIAN TO INDEPENDENCE"
ARTE-4282,"MODERN AND CONTEMPORARY ART IN LATIN AMERICA"
ARTE-4291,"ELEMENTARY SCULPTURE"
ARTE-4292,"INTERMEDIATE SCULPTURE"
ARTE-4293,"ADVANCED SCULPTURE"
ARTE-4301,"INDUSTRIAL DESIGN"
ARTE-4302,"INDUSTRIAL DESIGN"
ARTE-4311,"ART CRITICISM I"
ARTE-4312,"ART CRITICISM II"
ARTE-4321,"ART SEMINAR I"
ARTE-4322,"ART SEMINAR II"
ARTE-4331,"COMPARATIVE ARTS"
ARTE-4332,"COMPARATIVE ARTS"
ARTE-4335,"HISTORY OF CONTEMPORARY ART"
ARTE-4525,"NORTHERN EUROPEAN PAINTING OF THE RENAISSANCE"
ARTE-4535,"ADVANCED PAINTING"
ARTE-4995,"SPECIAL TOPICS"
ARTE-4996,"SPECIAL TOPICS"
CHIN-3051,"CHINESE I"
CHIN-3052,"MANDARIN II"
FRAN-3060,"FRENCH PHONETICS"
FRAN-3135,"SUMMER STUDY PROGRAM IN PARIS"
FRAN-3141,"FRENCH I"
FRAN-3142,"FRENCH II"
FRAN-3143,"FRENCH III"
FRAN-3144,"FRENCH IV"
FRAN-3151,"BUSINESS FRENCH I"
FRAN-3155,"CONVERSATION I"
FRAN-4007,"ADVANCED GRAMMAR"
FRAN-4008,"ADVANCED COMPOSITION"
FRAN-4036,"BUSINESS FRENCH II"
FRAN-4115,"FRENCH COMPOSITION"
FRAN-4116,"CONVERSATION II"
FRAN-4141,"FRENCH POETRY"
FRAN-4142,"FRENCH POETRY"
FRAN-4145,"THE FRENCH NOVEL"
FRAN-4147,"MODERN FRENCH LITERATURE"
FRAN-4149,"FRENCH POETRY"
FRAN-4151,"FRENCH CULTURE AND CIVILIZATION"
FRAN-4152,"FRENCH CULTURE AND CIVILIZATION"
FRAN-4181,"FRENCH LITERATURE TO THE REVOLUTION"
FRAN-4182,"FRENCH LITERATURE TO THE REVOLUTION"
FRAN-4185,"HISTORY OF THE FRENCH LANGUAGE"
FRAN-4191,"FRENCH LITERATURE SINCE THE REVOLUTION"
FRAN-4192,"FRENCH LITERATURE SINCE THE REVOLUTION"
FRAN-4236,"UNDERGRADUATE RESEARCH I"
FRAN-4237,"UNDERGRADUATE RESEARCH II"
FRAN-4995,"SPECIAL TOPICS"
FRAN-4996,"SPECIAL TOPICS"
ALEM-3041,"GERMAN I"
ALEM-3042,"GERMAN II"
ALEM-3043,"GERMAN III"
ALEM-3044,"GERMAN IV"
ALEM-4001,"GERMAN LITERATURE"
ALEM-4002,"GERMAN LITERATURE"
GRIE-3011,"ELEMENTARY GREEK I"
GRIE-3012,"ELEMENTARY GREEK II"
HUMA-3087,"CLASSICS OF ITALIAN LITERATURE IN TRANSLATION"
HUMA-3111,"INTRODUCTION TO WESTERN CULTURE I"
HUMA-3112,"INTRODUCTION TO WESTERN CULTURE II"
HUMA-3115,"EUROPEAN STUDY TOUR"
HUMA-3271,"THE BIBLE AS A LITERARY AND HISTORICAL DOCUMENT: THE OLD TESTAMENT"
HUMA-3272,"THE BIBLE AS A LITERARY AND HISTORICAL DOCUMENT; THE NEW TESTAMENT"
HUMA-3401,"LATIN AMERICAN CIVILIZATION AND CULTURE"
HUMA-3402,"LATIN AMERICAN CIVILIZATION AND CULTURE"
HUMA-3411,"INTRODUCTION TO THE CULTURE OF SOUTH ASIA"
HUMA-3412,"INTRODUCTION TO THE CULTURE OF EAST ASIA"
HUMA-3425,"PUERTO RICAN THOUGHT"
HUMA-4995,"SPECIAL TOPICS"
HUMA-4996,"SPECIAL TOPICS IN THE HUMANITIES"
HUMA-5991,"SPECIAL TOPICS"
HUMA-5992,"SPECIAL TOPICS"
ITAL-3031,"CONVERSATION AND CULTURE"
ITAL-3032,"CONVERSATION AND CULTURE"
ITAL-3071,"ITALIAN I"
ITAL-3072,"ITALIAN II"
ITAL-3073,"ITALIAN III"
ITAL-3074,"ITALIAN IV"
ITAL-3085,"THE ITALIAN CINEMA"
ITAL-3086,"CONVERSATION IN ITALIAN"
ITAL-3087,"ITALIAN CULTURE"
ITAL-3090,"SUMMER STUDY PROGRAM IN ITALY"
ITAL-4007,"SPECIAL TOPICS"
JAPO-3111,"JAPANESE I"
JAPO-3112,"JAPANESE II"
JAPO-3211,"JAPANESE III"
JAPO-3212,"JAPANESE IV"
LATI-3011,"ELEMENTARY LATIN"
LATI-3012,"ELEMENTARY LATIN II"
LATI-3013,"INTERMEDIATE LATIN III"
LATI-3014,"INTERMEDIATE LATIN IV"
LITE-3005,"LITERATURE APPRECIATION"
LITE-3025,"LITERARY THEORY"
LITE-3035,"MYTHOLOGY IN WESTERN LITERATURE"
LITE-3041,"INTRODUCTION TO COMPARATIVE LITERATURE"
LITE-3042,"INTRODUCTION TO COMPARATIVE LITERATURE"
LITE-4011,"EVOLUTION OF THE NOVEL I"
LITE-4012,"EVOLUTION OF THE NOVEL II"
LITE-4021,"COMPARATIVE DRAMA I"
LITE-4022,"COMPARATIVE DRAMA II"
LITE-4035,"MEDIEVAL EUROPEAN LITERATURE"
LITE-4045,"RENAISSANCE LITERATURE"
LITE-4051,"COMPARATIVE POETRY"
LITE-4052,"COMPARATIVE POETRY"
LITE-4075,"LITERARY CRITICISM"
LITE-4076,"POSTCOLONIAL STUDIES"
LITE-4081,"ROMANTICISM IN LITERATURE I"
LITE-4082,"ROMANTICISM IN LITERATURE II"
LITE-4115,"CULTURAL STUDIES AND COMPARATIVE LITERATURE"
LITE-4118,"THE MODERN SHORT STORY"
LITE-4990,"SPECIAL TOPICS IN COMPARATIVE LITERATURE I"
LITE-4991,"UNDERGRADUATE RESEARCH I"
LITE-4992,"UNDERGRADUATE RESEARCH II"
FILO-5001,"LITERATURE AND PHILOSOPHY I"
FILO-5002,"LITERATURE AND PHILOSOPHY II"
LITE-5035,"THEORY OF THE NOVEL"
LITE-5050,"CONTEMPORARY LITERARY CRITICISM"
LITE-5057,"MAGICAL REALISM"
LITE-5336,"WORLD LITERATURE BY WOMEN"
LITE-5615,"THE SYMBOLIST MOVEMENT IN LITERATURE"
LITE-5715,"METHODS IN THE STUDY OF LITERARY TEXTS"
LITE-5995,"SPECIAL TOPICS IN COMPARATIVE LITERATURE I"
LITE-5996,"SPECIAL TOPICS IN COMPARATIVE LITERATURE II"
MUSI-3005,"PUERTO RICAN MUSICAL CULTURE"
MUSI-3006,"LATIN AMERICAN MUSIC"
MUSI-3135,"MUSIC APPRECIATION"
